架构,优化级别,矩阵大小,算法,执行时间(秒)
arm64,O2,500,算法2_展开,0.001405
arm64,O2,600,算法1,0.002987
arm64,O2,600,算法1_展开,0.002332
arm64,O2,600,算法2,0.002211
arm64,O2,600,算法2_展开,0.001880
arm64,O2,700,算法1,0.005255
arm64,O2,700,算法1_展开,0.005083
arm64,O2,700,算法2,0.003116
arm64,O2,700,算法2_展开,0.002628
arm64,O2,800,算法1,0.009171
arm64,O2,800,算法1_展开,0.007404
arm64,O2,800,算法2,0.003914
arm64,O2,800,算法2_展开,0.003237
arm64,O2,900,算法1,0.011737
arm64,O2,900,算法1_展开,0.010604
arm64,O2,900,算法2,0.004956
arm64,O2,900,算法2_展开,0.004203
arm64,O2,1000,算法1,0.013997
arm64,O2,1000,算法1_展开,0.013798
arm64,O2,1000,算法2,0.006256
arm64,O2,1000,算法2_展开,0.005148
arm64,O2,1100,算法1,0.019101
arm64,O2,1100,算法1_展开,0.023947
arm64,O2,1100,算法2,0.007399
arm64,O2,1100,算法2_展开,0.007748
arm64,O2,1200,算法1,0.021569
arm64,O2,1200,算法1_展开,0.025352
arm64,O2,1200,算法2,0.009030
arm64,O2,1200,算法2_展开,0.007386
arm64,O2,1300,算法1,0.025614
arm64,O2,1300,算法1_展开,0.036199
arm64,O2,1300,算法2,0.010403
arm64,O2,1300,算法2_展开,0.008995
arm64,O2,1400,算法1,0.029249
arm64,O2,1400,算法1_展开,0.038369
arm64,O2,1400,算法2,0.012035
arm64,O2,1400,算法2_展开,0.010072
arm64,O2,1500,算法1,0.033360
arm64,O2,1500,算法1_展开,0.046171
arm64,O2,1500,算法2,0.013808
arm64,O2,1500,算法2_展开,0.011631
arm64,O2,1600,算法1,0.040279
arm64,O2,1600,算法1_展开,0.053541
arm64,O2,1600,算法2,0.015816
arm64,O2,1600,算法2_展开,0.013196
arm64,O2,1700,算法1,0.048662
arm64,O2,1700,算法1_展开,0.061096
arm64,O2,1700,算法2,0.017803
arm64,O2,1700,算法2_展开,0.015031
arm64,O2,1800,算法1,0.055513
arm64,O2,1800,算法1_展开,0.070662
arm64,O2,1800,算法2,0.020101
arm64,O2,1800,算法2_展开,0.016590
arm64,O2,1900,算法1,0.061132
arm64,O2,1900,算法1_展开,0.071872
arm64,O2,1900,算法2,0.022698
arm64,O2,1900,算法2_展开,0.018533
arm64,O2,2000,算法1,0.065561
arm64,O2,2000,算法1_展开,0.084687
arm64,O2,2000,算法2,0.024397
arm64,O2,2000,算法2_展开,0.020400
arm64,O2,2100,算法1,0.072988
arm64,O2,2100,算法1_展开,0.087817
arm64,O2,2100,算法2,0.027207
arm64,O2,2100,算法2_展开,0.022804
arm64,O2,2200,算法1,0.083777
arm64,O2,2200,算法1_展开,0.097054
arm64,O2,2200,算法2,0.030199
arm64,O2,2200,算法2_展开,0.025079
arm64,O2,2300,算法1,0.091823
arm64,O2,2300,算法1_展开,0.103020
arm64,O2,2300,算法2,0.273105
arm64,O2,2300,算法2_展开,0.027202
arm64,O2,2400,算法1,0.096358
arm64,O2,2400,算法1_展开,0.112901
arm64,O2,2400,算法2,0.035094
arm64,O2,2400,算法2_展开,0.029646
arm64,O2,2500,算法1,0.104104
arm64,O2,2500,算法1_展开,0.124521
arm64,O2,2500,算法2,0.038387
arm64,O2,2500,算法2_展开,0.031704
arm64,O2,2600,算法1,0.114231
arm64,O2,2600,算法1_展开,0.123044
arm64,O2,2600,算法2,0.041932
arm64,O2,2600,算法2_展开,0.034666
arm64,O2,2700,算法1,0.125640
