架构,优化级别,矩阵大小,算法,执行时间(秒)
x86_64,O1,1200,算法1,0.005795
x86_64,O1,1200,算法1_展开,0.003781
x86_64,O1,1200,算法2,0.001357
x86_64,O1,1200,算法2_展开,0.001170
x86_64,O1,1300,算法1,0.007077
x86_64,O1,1300,算法1_展开,0.006732
x86_64,O1,1300,算法2,0.001775
x86_64,O1,1300,算法2_展开,0.001528
x86_64,O1,1400,算法1,0.008192
x86_64,O1,1400,算法1_展开,0.005733
x86_64,O1,1400,算法2,0.001948
x86_64,O1,1400,算法2_展开,0.001467
x86_64,O1,1500,算法1,0.008948
x86_64,O1,1500,算法1_展开,0.008515
x86_64,O1,1500,算法2,0.002427
x86_64,O1,1500,算法2_展开,0.001847
x86_64,O1,1600,算法1,0.010348
x86_64,O1,1600,算法1_展开,0.009741
x86_64,O1,1600,算法2,0.002800
x86_64,O1,1600,算法2_展开,0.002067
x86_64,O1,1700,算法1,0.011601
x86_64,O1,1700,算法1_展开,0.010345
x86_64,O1,1700,算法2,0.003136
x86_64,O1,1700,算法2_展开,0.002607
x86_64,O1,1800,算法1,0.013605
x86_64,O1,1800,算法1_展开,0.013011
x86_64,O1,1800,算法2,0.003440
x86_64,O1,1800,算法2_展开,0.003318
x86_64,O1,1900,算法1,0.015468
x86_64,O1,1900,算法1_展开,0.014630
x86_64,O1,1900,算法2,0.003801
x86_64,O1,1900,算法2_展开,0.003073
x86_64,O1,2000,算法1,0.017720
x86_64,O1,2000,算法1_展开,0.016884
x86_64,O1,2000,算法2,0.004299
x86_64,O1,2000,算法2_展开,0.003750
x86_64,O1,2100,算法1,0.018791
x86_64,O1,2100,算法1_展开,0.016854
x86_64,O1,2100,算法2,0.004462
x86_64,O1,2100,算法2_展开,0.003674
x86_64,O1,2200,算法1,0.022108
x86_64,O1,2200,算法1_展开,0.021236
x86_64,O1,2200,算法2,0.005173
x86_64,O1,2200,算法2_展开,0.004115
x86_64,O1,2300,算法1,0.023504
x86_64,O1,2300,算法1_展开,0.024764
x86_64,O1,2300,算法2,0.004990
x86_64,O1,2300,算法2_展开,0.004755
x86_64,O1,2400,算法1,0.026561
x86_64,O1,2400,算法1_展开,0.298009
x86_64,O1,2400,算法2,0.005960
x86_64,O1,2400,算法2_展开,0.005209
x86_64,O1,2500,算法1,0.030239
x86_64,O1,2500,算法1_展开,0.029630
x86_64,O1,2500,算法2,0.006147
x86_64,O1,2500,算法2_展开,0.005322
x86_64,O1,2600,算法1,0.033405
x86_64,O1,2600,算法1_展开,0.031027
x86_64,O1,2600,算法2,0.006969
x86_64,O1,2600,算法2_展开,0.005553
x86_64,O1,2700,算法1,0.038054
x86_64,O1,2700,算法1_展开,0.035741
x86_64,O1,2700,算法2,0.007652
x86_64,O1,2700,算法2_展开,0.005787
x86_64,O1,2800,算法1,0.039645
x86_64,O1,2800,算法1_展开,0.036597
x86_64,O1,2800,算法2,0.007507
x86_64,O1,2800,算法2_展开,0.006890
x86_64,O1,2900,算法1,0.042163
x86_64,O1,2900,算法1_展开,0.040436
x86_64,O1,2900,算法2,0.008301
x86_64,O1,2900,算法2_展开,0.007046
x86_64,O1,3000,算法1,0.044437
x86_64,O1,3000,算法1_展开,0.042313
x86_64,O1,3000,算法2,0.008667
x86_64,O1,3000,算法2_展开,0.007664
x86_64,O1,3100,算法1,0.050883
x86_64,O1,3100,算法1_展开,0.048541
x86_64,O1,3100,算法2,0.009173
x86_64,O1,3100,算法2_展开,0.008316
x86_64,O1,3200,算法1,0.054095
x86_64,O1,3200,算法1_展开,0.052241
x86_64,O1,3200,算法2,0.010069
x86_64,O1,3200,算法2_展开,0.008343
x86_64,O1,3300,算法1,0.055709
x86_64,O1,3300,算法1_展开,0.052292
x86_64,O1,3300,算法2,0.010951
x86_64,O1,3300,算法2_展开,0.009637
x86_64,O1,3400,算法1,0.061667
x86_64,O1,3400,算法1_展开,0.057570
x86_64,O1,3400,算法2,0.011762
x86_64,O1,3400,算法2_展开,0.009886
x86_64,O1,3500,算法1,0.066154
x86_64,O1,3500,算法1_展开,0.061111
x86_64,O1,3500,算法2,0.012085
x86_64,O1,3500,算法2_展开,0.010181
x86_64,O1,3600,算法1,0.068312
x86_64,O1,3600,算法1_展开,0.065028
x86_64,O1,3600,算法2,0.013087
x86_64,O1,3600,算法2_展开,0.010408
x86_64,O1,3700,算法1,0.074663
x86_64,O1,3700,算法1_展开,0.068607
x86_64,O1,3700,算法2,0.013440
x86_64,O1,3700,算法2_展开,0.011298
x86_64,O1,3800,算法1,0.079387
x86_64,O1,3800,算法1_展开,0.073801
x86_64,O1,3800,算法2,0.013927
x86_64,O1,3800,算法2_展开,0.011613
x86_64,O1,3900,算法1,0.084092
x86_64,O1,3900,算法1_展开,0.078474
x86_64,O1,3900,算法2,0.015411
x86_64,O1,3900,算法2_展开,0.012622
x86_64,O1,4000,算法1,0.088209
x86_64,O1,4000,算法1_展开,0.082028
x86_64,O1,4000,算法2,0.016108
x86_64,O1,4000,算法2_展开,0.012521
x86_64,O2,100,算法1,0.000005
x86_64,O2,100,算法1_展开,0.000003
x86_64,O2,100,算法2,0.000004
x86_64,O2,100,算法2_展开,0.000002
x86_64,O2,200,算法1,0.000016
x86_64,O2,200,算法1_展开,0.000015
x86_64,O2,200,算法2,0.000012
x86_64,O2,200,算法2_展开,0.000012
x86_64,O2,300,算法1,0.000057
x86_64,O2,300,算法1_展开,0.000039
x86_64,O2,300,算法2,0.000031
